Project_ID;Organization;Short_project_description;Year_technical_go_live;Organisation_profile;Business_domain;Development_method;Primary_programming_language;Development_class;Functional_size_FP;Actual_duration_months;Actual_cost_EUR;Actual_effort_hours;Defects_process;Defects_first_month;Stakeholder_satisfaction_process;Stakeholder Satisfaction - Product;Perceived_value_overall;Release_based_working;Once_only_project;Multi_application_release;Phased_project;Dependencies_with_other_applications;Single_application;Migration_project;Problems_with_external_supplier;Security_related_project;Package_of_the_shelf;Package_with_customization;Steady_heartbeat;Fixed_experienced_team;Many_team_changes_unexperienced_team;Legacy_application;Technology_driven_project;Rules_and_regulations_driven_project;Business_driven_project;Pilot_or_proof_of_concept
308;Bank A;"Maintenance and new functionality project on an existing finance & risk application; AMBER Upgrade";2012;Banking;Finance & Risk;Plan-driven;JAVA;Major Enhancement (25-75% new);123;12,52;665.420;;70;;;;;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
219;Bank A;"Maintenance and new functionality project on an existing client and accountmanagement application; Into the Red Client Accounts Management";2011;Banking;Client and Account Management;Plan-driven;JAVA;New Development;174;15,60;1.096.330;;72;;;;;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0
144;Bank A;Enhancements on functionality to change customer addresses in internet environment;2010;Banking;Internet & Mobile;Plan-driven;JAVA;New Development;63;18,10;528.440;;73;;;;;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0
388;Beltel;"New functionality project on a new application; first part of a (phased) program; fixed price based on pre-project proposal; build and test performed by Indian supplier with strategic outsourcing agreement with Beltel; projectteam with members in Belgium, India and Portugal; Order Management System - New Framework Solution";2014;Telecommunications;Client and Account Management;Scrum;;New Development;1365;9,60;1.847.474;;78;;;;;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0
200;Bank A;"New functionality project on an existing internet application; L2/L3 P";2011;Banking;Internet & Mobile;Scrum;JAVA;Minor Enhancement (5-25% new);88;8,71;653.760;;79;;;;;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0
484;Beltel;"New functionality project on a new application; part of a (phased) program; fixed price based on pre-project proposal; build and test performed by Indian supplier with strategic outsourcing agreement with Beltel; projectteam with members in Belgium, India and Portugal; OMS - Handset Simple : Combined Sales";2016;Telecommunications;Client and Account Management;Scrum;;Minor Enhancement (5-25% new);27;13,44;20.947;;80;;;;;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0
130;Bank A;Phase Out Secure Payments Solutions;2008;Banking;Internet & Mobile;Plan-driven;.NET;Major Enhancement (25-75% new);229;10,07;781.000;;83;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
246;Bank A;"Maintenance and new functionality project on an existing mortgages application; Synchronise Savings Administrations";2011;Banking;Mortgages;Plan-driven;JAVA;Minor Enhancement (5-25% new);132;19,63;640.230;;86;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
182;Bank A;"Maintenance and new functionality release on an existing mortgages application; Back Pointing";2011;Banking;Mortgages;Plan-driven;JAVA;New Development;68;9,90;410.300;;98;;;;;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
152;Bank A;Integration of a new customer advisory application into the existing MyBank website;2010;Banking;Internet & Mobile;Plan-driven;JAVA;Minor Enhancement (5-25% new);238;10,97;1.290.240;;104;;;;;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;0;0;1;1
318;Beltel;"Maintenance and new functionality project on an existing CRM application; fixed price based on pre-project proposal; build and test performed by Indian supplier with strategic outsourcing agreement with Beltel; projectteam with members in Belgium and India; part of a large (phased) program; Carpe BASE Phase 1";2012;Telecommunications;Client and Account Management;Plan-driven;JAVA;New Development;440;9,22;1.375.850;;107;;;;;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0
454;Beltel;"New functionality project on a new application; part of a (phased) program; fixed price based on pre-project proposal; build and test performed by Indian supplier with strategic outsourcing agreement with Beltel; projectteam with members in Belgium, India and Portugal; OMS - Handset Simple: Combined Sales - Frontend";2016;Telecommunications;Billing;Scrum;;Major Enhancement (25-75% new);188;10,98;155.000;;112;;;;;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
